職位,網址
大數據與資訊安全處-資訊安全資深工程師,https//www.104.com.tw/job/7sdoy?jobsource=jolist_a_relevance
智慧製造演算法工程師,https//www.104.com.tw/job/7jco5?jobsource=jolist_a_relevance
量化策略與金融大數據工程師,https//www.104.com.tw/job/7q9k6?jobsource=jolist_a_relevance
資安工程師 (SOC L3大數據資料分析師),https//www.104.com.tw/job/7mlzl?jobsource=jolist_a_relevance
業務主管,https//www.104.com.tw/job/7zkr8?jobsource=jolist_a_relevance
大數據處理工程師(高雄/桃園),https//www.104.com.tw/job/7aiog?jobsource=jolist_a_relevance
[TW FA] 會計專員/資深會計專員 Accountant/Senior Accountant,https//www.104.com.tw/job/7qqa8?jobsource=jolist_a_relevance
"國家衛生研究院健康大數據永續平台計畫(TCOG派駐高雄醫學大學附設醫院)臨床研究護理師(Study Coordinator, SC)",https//www.104.com.tw/job/7us5y?jobsource=jolist_a_relevance
資料科學家(大數據發展處),https//www.104.com.tw/job/7x28s?jobsource=jolist_a_relevance
[TW AD] Sr. Account Manager 資深客戶經理,https//www.104.com.tw/job/5zmto?jobsource=jolist_a_relevance
[HQ HR] HR Director,https//www.104.com.tw/job/7590o?jobsource=jolist_a_relevance
儀科中心-生醫平台與育成組-誠徵計畫專任人員學士級1名(健康大數據)(聘期至113年04月30日),https//www.104.com.tw/job/7ztcl?jobsource=jolist_a_relevance
[T300]系統分析師(SA)-金融業相關領域/公部門大數據,https//www.104.com.tw/job/6xyey?jobsource=jolist_a_relevance
通路業務大數據分析人員,https//www.104.com.tw/job/7coqm?jobsource=jolist_a_relevance
(資深)後端工程師,https//www.104.com.tw/job/5x0lo?jobsource=jolist_a_relevance
[TW KA] Business Development Manager (Key Account),https//www.104.com.tw/job/7whr9?jobsource=jolist_a_relevance
I8231 大數據專業服務Presales,https//www.104.com.tw/job/7yf5a?jobsource=jolist_a_relevance
資料科學工程師 / Data Science Engineer,https//www.104.com.tw/job/7n2yi?jobsource=jolist_a_relevance
軟體工程師,https//www.104.com.tw/job/6p2d5?jobsource=jolist_a_relevance
【風險諮詢】大數據稽核諮詢顧問,https//www.104.com.tw/job/550g9?jobsource=jolist_a_relevance
[Data Sci] Data Project Manager,https//www.104.com.tw/job/6uakg?jobsource=jolist_a_relevance
2023_A+種子暑期實習_大數據與資料分析(新竹),https//www.104.com.tw/job/7x21i?jobsource=jolist_a_relevance
[TW] Full Stack Engineer,https//www.104.com.tw/job/7v2tk?jobsource=jolist_a_relevance
電話行銷業務,https//www.104.com.tw/job/7zzsu?jobsource=jolist_a_relevance
電話行銷人員,https//www.104.com.tw/job/7zzuh?jobsource=jolist_a_relevance
不動產經紀人,https//www.104.com.tw/job/7zzuv?jobsource=jolist_d_relevance
辦公室行銷業務人員(無經驗可),https//www.104.com.tw/job/7zzv9?jobsource=jolist_d_relevance
MyGo擴編-土地開發專員/保障底薪+高抽成+提供大數據找地！(台北),https//www.104.com.tw/job/7uc5a?jobsource=jolist_d_relevance
2023_A+種子暑期實習_大數據與資料分析(龍潭),https//www.104.com.tw/job/7x1v4?jobsource=jolist_d_relevance
2023_A+種子暑期實習_大數據與資料分析(台中),https//www.104.com.tw/job/7x1k9?jobsource=jolist_d_relevance
大數據分析應用管理師,https//www.104.com.tw/job/72jd9?jobsource=jolist_d_relevance
程式設計師-大數據平台建置(醫療領域-MCD30),https//www.104.com.tw/job/7z563?jobsource=jolist_d_relevance
高雄軟體園區- 大數據平台整合資深工程師,https//www.104.com.tw/job/5ze2j?jobsource=jolist_d_relevance
PA0424 AI大數據設計經理(內湖),https//www.104.com.tw/job/6v25o?jobsource=jolist_d_relevance
業務專員(週休二日/無須陌開),https//www.104.com.tw/job/7zzvy?jobsource=jolist_d_relevance
[Data Sci] Data Front-end Engineer,https//www.104.com.tw/job/77hyp?jobsource=jolist_d_relevance
【2023暑期實習】大數據處理實習生 (板橋),https//www.104.com.tw/job/7yld3?jobsource=jolist_d_relevance
產品專案經理(智能數據分析師 )  (良率提昇工程師),https//www.104.com.tw/job/6ta63?jobsource=jolist_d_relevance
高雄軟體園區-大數據平台開發工程師,https//www.104.com.tw/job/5ze1y?jobsource=jolist_d_relevance
[TW Data] Sr. Data Sales Manager/Director,https//www.104.com.tw/job/74hb9?jobsource=jolist_d_relevance
演算法資料／大數據 工程師！加入台中矽谷,https//www.104.com.tw/job/4nvhg?jobsource=jolist_d_relevance
統計工程師,https//www.104.com.tw/job/6x67q?jobsource=jolist_d_relevance
Data Scientist/資料科學家,https//www.104.com.tw/job/7xt11?jobsource=jolist_d_relevance
城鄉規劃人員(土地開發專業LH),https//www.104.com.tw/job/5l66l?jobsource=jolist_d_relevance
Data Scientist/資料科學家,https//www.104.com.tw/job/7xzhz?jobsource=jolist_d_relevance
數據產品經理,https//www.104.com.tw/job/6zwg5?jobsource=jolist_a_relevance
『不動產仲介首選完整培訓』大數據輔助房屋銷售 = 科技房仲！#大數據分析人才轉職 # 不動產業務/營業員/經紀人,https//www.104.com.tw/job/7x9um?jobsource=jolist_a_relevance
數位金融處-資料工程專業人員,https//www.104.com.tw/job/7q4nl?jobsource=jolist_a_relevance
資材專案管理師_12217,https//www.104.com.tw/job/7xu9b?jobsource=jolist_a_relevance
台北_經營管理專員,https//www.104.com.tw/job/6begn?jobsource=jolist_a_relevance
【工業4.0】智慧系統程式開發工程師 (S1),https//www.104.com.tw/job/6zvwr?jobsource=jolist_a_relevance
大數據中心-程式開發工程師,https//www.104.com.tw/job/7d74q?jobsource=jolist_a_relevance
APP產品管理師,https//www.104.com.tw/job/76wmo?jobsource=jolist_a_relevance
技術部-Data Engineer,https//www.104.com.tw/job/7ynrk?jobsource=jolist_a_relevance
[Data Sci] Sr. Data Product Manager,https//www.104.com.tw/job/73xe9?jobsource=jolist_a_relevance
Data Scientist/資料科學家,https//www.104.com.tw/job/76eob?jobsource=jolist_a_relevance
"數據工程師 Data Engineer -數據科技(數數發中心, DDT)",https//www.104.com.tw/job/6emjz?jobsource=jolist_a_relevance
數據工程師,https//www.104.com.tw/job/7kcv1?jobsource=jolist_a_relevance
軟體工程師【新竹】,https//www.104.com.tw/job/66xyc?jobsource=jolist_a_relevance
【高雄總部】eHRD事業群_研發處_後端工程師(JAVA),https//www.104.com.tw/job/7le5v?jobsource=jolist_a_relevance
A5-應用發展經理(BD/銷售業務),https//www.104.com.tw/job/7ih4l?jobsource=jolist_a_relevance
電商事業部 - Amazon電商營運專員 ( 宜蘭科學園區）,https//www.104.com.tw/job/75x3n?jobsource=jolist_a_relevance
【財務金融】信用風險管理專業人員,https//www.104.com.tw/job/77ptr?jobsource=jolist_a_relevance
財會課長,https//www.104.com.tw/job/7f8f5?jobsource=jolist_a_relevance
"資料科學工程師 (Data Engineer) -- 資料科學實驗室 (數數發中心, DDT)",https//www.104.com.tw/job/6w7ov?jobsource=jolist_a_relevance
雲端軟體工程師,https//www.104.com.tw/job/6sf6f?jobsource=jolist_a_relevance
【IT】數據應用高級工程師(新竹),https//www.104.com.tw/job/7ith6?jobsource=jolist_a_relevance
軟體高階主管,https//www.104.com.tw/job/7ta4m?jobsource=jolist_a_relevance
資深後端工程師,https//www.104.com.tw/job/76q8x?jobsource=jolist_a_relevance
軟體工程師(總公司)#03110017,https//www.104.com.tw/job/6c13d?jobsource=jolist_a_relevance
資訊軟體工程師,https//www.104.com.tw/job/7ywv9?jobsource=jolist_a_relevance
【技術部】數據分析師-分析、演算,https//www.104.com.tw/job/7s721?jobsource=jolist_a_relevance
BI工程師,https//www.104.com.tw/job/77yfs?jobsource=jolist_a_relevance
PLC / SCADA / 大數據及AI應用  規劃工程師 & 儲備主管 (南部地區),https//www.104.com.tw/job/7w46u?jobsource=jolist_a_relevance
"【數位金融】資料科學工程師 (數數發中心,DDT)",https//www.104.com.tw/job/6v7pz?jobsource=jolist_a_relevance
軟體專案管理師(U003),https//www.104.com.tw/job/7xalc?jobsource=jolist_a_relevance
資深程式設計師,https//www.104.com.tw/job/2fwlt?jobsource=jolist_a_relevance
語意大數據產品開發PM,https//www.104.com.tw/job/7b7xx?jobsource=jolist_a_relevance
IT 經理,https//www.104.com.tw/job/7s1if?jobsource=jolist_a_relevance
醫學研究部_統計分析師,https//www.104.com.tw/job/7upr8?jobsource=jolist_a_relevance
"【2023校園徵才】資料科學工程師 (數數發中心,DDT)",https//www.104.com.tw/job/7veyg?jobsource=jolist_a_relevance
國際交流暨研究組研究助理,https//www.104.com.tw/job/68jk4?jobsource=jolist_a_relevance
經管處專員,https//www.104.com.tw/job/7zxwe?jobsource=jolist_a_relevance
【產品研發】AI 機器學習工程師,https//www.104.com.tw/job/7qzix?jobsource=jolist_a_relevance
(中壢廠)資訊中心-暑期工讀生,https//www.104.com.tw/job/7kpe8?jobsource=jolist_a_relevance
PLC / SCADA / 大數據及AI應用  規劃工程師 & 儲備主管 (南部地區),https//www.104.com.tw/job/7w46u?jobsource=jolist_c_relevance
【製程工程類】智慧製造工程師 (桃園廠),https//www.104.com.tw/job/53o9g?jobsource=jolist_c_relevance
"【數位金融】資料科學工程師 (數數發中心,DDT)",https//www.104.com.tw/job/6v7pz?jobsource=jolist_c_relevance
軟體專案管理師(U003),https//www.104.com.tw/job/7xalc?jobsource=jolist_c_relevance
資深程式設計師,https//www.104.com.tw/job/2fwlt?jobsource=jolist_c_relevance
語意大數據產品開發PM,https//www.104.com.tw/job/7b7xx?jobsource=jolist_c_relevance
醫學研究部_統計分析師,https//www.104.com.tw/job/7upr8?jobsource=jolist_c_relevance
經管處專員,https//www.104.com.tw/job/7zxwe?jobsource=jolist_c_relevance
軟體工程師0106,https//www.104.com.tw/job/6ce33?jobsource=jolist_c_relevance
(中壢廠)資訊中心-暑期工讀生,https//www.104.com.tw/job/7kpe8?jobsource=jolist_c_relevance
交通工程師-B100002901,https//www.104.com.tw/job/7nj8i?jobsource=jolist_c_relevance
碳管理專案經理,https//www.104.com.tw/job/7ye3v?jobsource=jolist_c_relevance
資訊室-資深軟體工程師(中港院區),https//www.104.com.tw/job/34mv0?jobsource=jolist_c_relevance
Senior Data Engineer（每月有遠端日）,https//www.104.com.tw/job/7ejuq?jobsource=jolist_c_relevance
數據工程師_2896*,https//www.104.com.tw/job/7td53?jobsource=jolist_c_relevance
業務工程師(新竹廠)R98,https//www.104.com.tw/job/4355r?jobsource=jolist_c_relevance
數據分析師(風險管理),https//www.104.com.tw/job/7o6x8?jobsource=jolist_c_relevance
【數轉院/健康數據科技中心】行為科學領域專案PM/研究人員,https//www.104.com.tw/job/7t4cd?jobsource=jolist_c_relevance
系統需求管理師,https//www.104.com.tw/job/7chmx?jobsource=jolist_c_relevance
業務專員【BIG DATA】,https//www.104.com.tw/job/5rncb?jobsource=jolist_c_relevance
"專案管理師Project Management -數據科技(數數發中心, DDT)",https//www.104.com.tw/job/7gnm0?jobsource=jolist_d_relevance
【數位整合】_商業分析師(股票代號：6539),https//www.104.com.tw/job/7a83q?jobsource=jolist_d_relevance
【數據發展部】數據分析師-演算,https//www.104.com.tw/job/4u5lb?jobsource=jolist_d_relevance
軟體工程師(數據科學),https//www.104.com.tw/job/7sit4?jobsource=jolist_d_relevance
副總經理,https//www.104.com.tw/job/7kb08?jobsource=jolist_d_relevance
"【數位金融】雲端數據工程師(數數發中心, DDT)(高雄)",https//www.104.com.tw/job/7sf4c?jobsource=jolist_d_relevance
好好證券-後端工程師 Backend Engineer (熟 Python、RESTful API ),https//www.104.com.tw/job/5572i?jobsource=jolist_d_relevance
資深大數據分析工程師,https//www.104.com.tw/job/7ytrg?jobsource=jolist_d_relevance
【製程工程類】智慧製造工程師 (桃園廠),https//www.104.com.tw/job/53o9g?jobsource=jolist_d_relevance
高雄軟體園區-大數據平台開發工程師,https//www.104.com.tw/job/7lg0w?jobsource=jolist_d_relevance
【竹馬】醫學研究科-研究助理,https//www.104.com.tw/job/7wr4m?jobsource=jolist_d_relevance
商品企劃管理師,https//www.104.com.tw/job/7ruad?jobsource=jolist_d_relevance
供應鏈管理專員,https//www.104.com.tw/job/7qabe?jobsource=jolist_d_relevance
CIM系統開發工程師(龍潭廠)R66,https//www.104.com.tw/job/7603a?jobsource=jolist_d_relevance
交易員(計量交易部),https//www.104.com.tw/job/7wlcx?jobsource=jolist_d_relevance
碳管理專案經理,https//www.104.com.tw/job/7ye3v?jobsource=jolist_d_relevance
資訊室-資深軟體工程師(中港院區),https//www.104.com.tw/job/34mv0?jobsource=jolist_d_relevance
資料科學家,https//www.104.com.tw/job/7rvx4?jobsource=jolist_d_relevance
國衛院「生醫大數據資料分析」研究助理,https//www.104.com.tw/job/6zkvc?jobsource=jolist_d_relevance
Splunk分析工程師,https//www.104.com.tw/job/7zzl6?jobsource=jolist_d_relevance
調查研究專題中心-資料分析師,https//www.104.com.tw/job/7xqoj?jobsource=jolist_c_relevance
供應鏈管理專員,https//www.104.com.tw/job/7qabe?jobsource=jolist_c_relevance
資深大數據分析工程師,https//www.104.com.tw/job/7ytrg?jobsource=jolist_c_relevance
高雄軟體園區-大數據平台開發工程師,https//www.104.com.tw/job/7lg0w?jobsource=jolist_c_relevance
數據科學家(外派),https//www.104.com.tw/job/7uyip?jobsource=jolist_c_relevance
【2023暑期實習】資訊安全實習生,https//www.104.com.tw/job/7a9xx?jobsource=jolist_c_relevance
深度學習工程師,https//www.104.com.tw/job/7310q?jobsource=jolist_c_relevance
G8-長照及健康數據分析應用,https//www.104.com.tw/job/7ymix?jobsource=jolist_c_relevance
【竹馬】醫學研究科-研究助理,https//www.104.com.tw/job/7wr4m?jobsource=jolist_c_relevance
商品企劃管理師,https//www.104.com.tw/job/7ruad?jobsource=jolist_c_relevance
"【數位金融】資料科學分析師 -數據應用 (數數發中心,DDT)",https//www.104.com.tw/job/6v7kl?jobsource=jolist_c_relevance
"【數位金融】專案管理師(數數發中心, DDT)",https//www.104.com.tw/job/56s47?jobsource=jolist_c_relevance
SM2136 國外業務(美國區) Sales Account Manager for USA Market,https//www.104.com.tw/job/53ni2?jobsource=jolist_c_relevance
智慧生產軟體開發工程師,https//www.104.com.tw/job/74lb4?jobsource=jolist_c_relevance
CIM系統開發工程師(龍潭廠)R66,https//www.104.com.tw/job/7603a?jobsource=jolist_c_relevance
廠務氣化工程師(后里廠)R10,https//www.104.com.tw/job/45nyk?jobsource=jolist_c_relevance
交易員(計量交易部),https//www.104.com.tw/job/7wlcx?jobsource=jolist_c_relevance
大數據分析人員,https//www.104.com.tw/job/7vw84?jobsource=jolist_c_relevance
產品經理Product Manager (產品技術支援),https//www.104.com.tw/job/7fa02?jobsource=jolist_c_relevance
國衛院「生醫大數據資料分析」研究助理,https//www.104.com.tw/job/6zkvc?jobsource=jolist_c_relevance
資料科學家,https//www.104.com.tw/job/7rvx4?jobsource=jolist_c_relevance
Splunk分析工程師,https//www.104.com.tw/job/7zzl6?jobsource=jolist_c_relevance
SM2425  國內外專案業務 Sales Account Manager,https//www.104.com.tw/job/7pl5z?jobsource=jolist_c_relevance
數據分析師-分析、演算,https//www.104.com.tw/job/7u4c1?jobsource=jolist_c_relevance
5G OAM軟體開發工程師_11910,https//www.104.com.tw/job/7tkxl?jobsource=jolist_c_relevance
數據工程師(碩士),https//www.104.com.tw/job/7n8pg?jobsource=jolist_c_relevance
證券內部稽核人員,https//www.104.com.tw/job/6rw45?jobsource=jolist_c_relevance
【數位數據】數據暨客群經營分析師,https//www.104.com.tw/job/5wxv6?jobsource=jolist_c_relevance
ERP儲備顧問師,https//www.104.com.tw/job/77z7y?jobsource=jolist_c_relevance
運輸規劃師(高雄市三民區),https//www.104.com.tw/job/7cfpw?jobsource=jolist_c_relevance
J1000 電子商務經營分析專員(數據分析),https//www.104.com.tw/job/7pg8m?jobsource=jolist_c_relevance
VIS230019-【2023暑期實習】產品數位專案實習生(新竹廠),https//www.104.com.tw/job/7x4vw?jobsource=jolist_c_relevance
數據分析人員,https//www.104.com.tw/job/7c4k8?jobsource=jolist_c_relevance
產品行銷企劃專員,https//www.104.com.tw/job/7z19x?jobsource=jolist_c_relevance
[V]人工智慧與程式設計開發工程師,https//www.104.com.tw/job/7yn3x?jobsource=jolist_c_relevance
I193 大數據分析工程師(可遠端工作),https//www.104.com.tw/job/7ndix?jobsource=jolist_c_relevance
資訊_演算法開發工程師,https//www.104.com.tw/job/7o9vj?jobsource=jolist_c_relevance
【IT】商業智慧(BI)數據分析師【林口】,https//www.104.com.tw/job/7b6az?jobsource=jolist_c_relevance
應用軟體開發工程師 SW Application Engineer,https//www.104.com.tw/job/7we6y?jobsource=jolist_c_relevance
視訊影像產品事業部 軟韌體工程師,https//www.104.com.tw/job/6bwgi?jobsource=jolist_c_relevance
【數位金融】部門主管-(線上面談),https//www.104.com.tw/job/6xsfl?jobsource=jolist_a_relevance
【美十樂連鎖藥局】品牌行銷副理,https//www.104.com.tw/job/7wwge?jobsource=jolist_a_relevance
【中嘉集團正職】（資深）業務專員（樹林）【保障底薪+獎金】,https//www.104.com.tw/job/6nlnu?jobsource=jolist_a_relevance
系統整合工程師,https//www.104.com.tw/job/7l7hn?jobsource=jolist_a_relevance
ETL工程師,https//www.104.com.tw/job/6uzw2?jobsource=jolist_a_relevance
資訊工程師-系統導入、程式開發及維護界接(楊梅廠),https//www.104.com.tw/job/7y300?jobsource=jolist_a_relevance
AI資深工程師,https//www.104.com.tw/job/7vt62?jobsource=jolist_a_relevance
數據科學家(外派),https//www.104.com.tw/job/7uyip?jobsource=jolist_a_relevance
【2023暑期實習】資訊安全實習生,https//www.104.com.tw/job/7a9xx?jobsource=jolist_a_relevance
數據分析工程師,https//www.104.com.tw/job/7epiy?jobsource=jolist_a_relevance
【總管理中心】- 資訊專員,https//www.104.com.tw/job/7zxq0?jobsource=jolist_a_relevance
系統設計/軟韌體 工程師,https//www.104.com.tw/job/7nb7o?jobsource=jolist_a_relevance
程式設計師,https//www.104.com.tw/job/5whxi?jobsource=jolist_a_relevance
深度學習工程師,https//www.104.com.tw/job/7310q?jobsource=jolist_a_relevance
G8-長照及健康數據分析應用,https//www.104.com.tw/job/7ymix?jobsource=jolist_a_relevance
資深研究員,https//www.104.com.tw/job/7okno?jobsource=jolist_a_relevance
風險管理處-市場風險數據分析人員,https//www.104.com.tw/job/7ro6y?jobsource=jolist_a_relevance
"【數位金融】資料科學分析師 -數據應用 (數數發中心,DDT)",https//www.104.com.tw/job/6v7kl?jobsource=jolist_a_relevance
"【數位金融】專案管理師(數數發中心, DDT)",https//www.104.com.tw/job/56s47?jobsource=jolist_a_relevance
SM2136 國外業務(美國區) Sales Account Manager for USA Market,https//www.104.com.tw/job/53ni2?jobsource=jolist_a_relevance
品牌行銷與企劃,https//www.104.com.tw/job/6gkwx?jobsource=jolist_d_relevance
AI人工智慧軟體助理工程師,https//www.104.com.tw/job/7y69h?jobsource=jolist_d_relevance
智慧生產軟體開發工程師,https//www.104.com.tw/job/74lb4?jobsource=jolist_d_relevance
[蘆竹廠]營運企劃專員,https//www.104.com.tw/job/7t17n?jobsource=jolist_d_relevance
React前端工程師,https//www.104.com.tw/job/7jj4d?jobsource=jolist_d_relevance
資安工程師(創新服務) -20000889,https//www.104.com.tw/job/78pkc?jobsource=jolist_d_relevance
大數據部門數據應用規劃師,https//www.104.com.tw/job/75p77?jobsource=jolist_d_relevance
KL-社群電商平台-CTO(熟悉BI工具/2-3M),https//www.104.com.tw/job/7qnim?jobsource=jolist_d_relevance
廠務氣化工程師(后里廠)R10,https//www.104.com.tw/job/45nyk?jobsource=jolist_d_relevance
EN10208 軟體技術工程師,https//www.104.com.tw/job/74uue?jobsource=jolist_d_relevance
大數據分析人員,https//www.104.com.tw/job/7vw84?jobsource=jolist_d_relevance
電話行銷人員-台北車站,https//www.104.com.tw/job/3w1yd?jobsource=jolist_d_relevance
自動控制工程師,https//www.104.com.tw/job/45lic?jobsource=jolist_d_relevance
【MIC】MIC琢玉計畫_儲備分析師,https//www.104.com.tw/job/7t5a6?jobsource=jolist_d_relevance
產品設計驗證工程師(台南/竹南),https//www.104.com.tw/job/7n3fw?jobsource=jolist_d_relevance
系統維護人員,https//www.104.com.tw/job/7yi3d?jobsource=jolist_d_relevance
資料庫分析師,https//www.104.com.tw/job/7z1ij?jobsource=jolist_d_relevance
