職缺名稱,職缺連結,公司名稱,工作地區,薪資待遇
人工智慧系統開發工程師,https://www.104.com.tw/job/7694v?jobsource=jolist_a_relevance,森崴能源股份有限公司,新北市土城區,待遇面議
"後端軟體工程師 Software Engineer - 數據科技(數數發中心, DDT)",https://www.104.com.tw/job/7txb7?jobsource=jolist_a_relevance,國泰金控_國泰金融控股股份有限公司,台北市信義區,待遇面議
電商通路/平台業務經理主管幹部,https://www.104.com.tw/job/66noc?jobsource=jolist_a_relevance,愛上新鮮股份有限公司,台北市中正區,"月薪40,000元以上"
CTO | Data Scientist /數據科學家,https://www.104.com.tw/job/7v4ro?jobsource=jolist_a_relevance,殷富資訊股份有限公司,台北市松山區,待遇面議
2023【仁寶GOLF實習】AI專案實習生,https://www.104.com.tw/job/7zaxi?jobsource=jolist_a_relevance,仁寶電腦工業股份有限公司,台北市內湖區,"月薪32,000~37,000元"
RD21175 資料庫暨自動化軟體工程師,https://www.104.com.tw/job/7yxnm?jobsource=jolist_a_relevance,華碩電腦股份有限公司,台北市北投區,待遇面議
電話行銷人員-台中南屯,https://www.104.com.tw/job/6gwjh?jobsource=jolist_a_relevance,東森購物_電視購物_東森得易購股份有限公司,台中市南屯區,"月薪26,400元"
【米塔集團】總管理處-資訊人員,https://www.104.com.tw/job/7ve0u?jobsource=jolist_a_relevance,米塔集團_米塔興業股份有限公司,台北市松山區,"月薪35,000~45,000元"
SM2425  國內專案業務 Sales Account Manager,https://www.104.com.tw/job/742wz?jobsource=jolist_a_relevance,建騰創達科技股份有限公司,台北市內湖區,"月薪40,000~60,000元"
【資訊中心】AI工程師,https://www.104.com.tw/job/7zfqv?jobsource=jolist_a_relevance,忠欣股份有限公司,台北市大安區,待遇面議
Business Analysis Manager (Partnership),https://www.104.com.tw/job/7vfo8?jobsource=jolist_a_relevance,沛星互動科技股份有限公司,台北市信義區,待遇面議
精實物流企劃專員,https://www.104.com.tw/job/73b10?jobsource=jolist_a_relevance,和泰汽車股份有限公司,桃園市楊梅區,"月薪40,000~83,000元"
AI Engineer /  Data Scientist,https://www.104.com.tw/job/7z8r9?jobsource=jolist_a_relevance,安瀚視特股份有限公司,台南市安南區,待遇面議
行銷企劃主管,https://www.104.com.tw/job/7zzxk?jobsource=jolist_a_relevance,OceanBaby_洋誠國際貿易有限公司,台中市南屯區,"月薪48,000~60,000元"
中區輕熟齡女裝服飾銷售人員【業界%數最優，直抽做多少抽多少】,https://www.104.com.tw/job/7iiou?jobsource=jolist_a_relevance,百分百可能股份有限公司,台中市西屯區,"月薪60,000元以上"
數位媒體投放專員（廣告優化師）,https://www.104.com.tw/job/7z8m5?jobsource=jolist_a_relevance,必加廣告行銷股份有限公司,台北市大安區,"月薪28,000~35,000元"
【2023研發替代役】軟韌體開發工程師 SWFW Engineer,https://www.104.com.tw/job/7d6w0?jobsource=jolist_a_relevance,力旺電子股份有限公司,新竹縣竹北市,待遇面議
系統分析師(D1)【全家便利商店關係企業】,https://www.104.com.tw/job/71teg?jobsource=jolist_a_relevance,精藤股份有限公司,台北市中山區,"年薪700,000~1,000,000元"
AI軟體工程師(G0),https://www.104.com.tw/job/7zvd7?jobsource=jolist_a_relevance,凌群電腦股份有限公司,台北市萬華區,"月薪33,000元以上"
專案助理,https://www.104.com.tw/job/7f9hi?jobsource=jolist_a_relevance,博創行銷有限公司,台北市中山區,"月薪30,000~32,000元"
演算法開發工程師,https://www.104.com.tw/job/7xk4k?jobsource=jolist_a_relevance,久元電子股份有限公司,新竹市,"月薪36,000元以上"
數據視覺化分析師,https://www.104.com.tw/job/7yzht?jobsource=jolist_a_relevance,威彼資訊有限公司,台北市南港區,待遇面議
資深雲端工程師,https://www.104.com.tw/job/6g0tm?jobsource=jolist_a_relevance,台灣雨花石雲計算科技有限公司,台北市中山區,"月薪65,000~80,000元"
Taiwan Event Planning Specialist 台灣市場活動企劃,https://www.104.com.tw/job/7zmz3?jobsource=jolist_a_relevance,漸強賴伯股份有限公司,台北市大安區,待遇面議
大數據架構(K8s/Kubernetes)工程師0609,https://www.104.com.tw/job/7lmsn?jobsource=jolist_a_relevance,Phison Electronics Corp_群聯電子股份有限公司,苗栗縣竹南鎮,待遇面議
【校園徵才-暑期實習】數據分析與軟體設計工程師(竹南/台南),https://www.104.com.tw/job/7qdth?jobsource=jolist_a_relevance,Phison Electronics Corp_群聯電子股份有限公司,苗栗縣竹南鎮,"月薪26,400~60,000元"
商務開發助理 Business Development Assistant,https://www.104.com.tw/job/5vtxp?jobsource=jolist_a_relevance,塞席爾商悠福科技股份有限公司,台北市中山區,"月薪33,000元以上"
【風險諮詢】企業轉型與數位科技應用顧問-台中所,https://www.104.com.tw/job/78vu2?jobsource=jolist_a_relevance,勤業眾信聯合會計師事務所,台中市西屯區,待遇面議
數位社群行銷專案執行 Consultant,https://www.104.com.tw/job/4ycy2?jobsource=jolist_a_relevance,亞瑞特數位社群行銷有限公司,台北市松山區,"月薪26,400~38,000元"
國家地震工程研究中心_建物組專案計畫人員2名(417),https://www.104.com.tw/job/7tojb?jobsource=jolist_a_relevance,財團法人國家實驗研究院,台北市大安區,"月薪33,800元以上"
Showmore 早班客服兼職(部分遠端),https://www.104.com.tw/job/7z41x?jobsource=jolist_a_relevance,塞席爾商悠福科技股份有限公司,台北市中山區,遠端工作
2023年度研發替代役-人資數據分析師(含役前實習) (台北),https://www.104.com.tw/job/7xbrm?jobsource=jolist_a_relevance,台新金控_台新國際商業銀行股份有限公司,台北市大安區,待遇面議
稽核人員(稽核部),https://www.104.com.tw/job/46mqn?jobsource=jolist_a_relevance,聯邦商業銀行股份有限公司,台北市松山區,待遇面議
【風險諮詢】金融犯罪風險資料分析顧問,https://www.104.com.tw/job/7f2i9?jobsource=jolist_a_relevance,勤業眾信聯合會計師事務所,台北市信義區,待遇面議
"""歡迎45+""捷運松江南京站~內勤保養諮詢顧問《保障月薪(含滿月津貼及全勤)28,000+高獎金》",https://www.104.com.tw/job/7xssg?jobsource=jolist_a_relevance,富日國際股份有限公司,台北市中山區,"月薪28,000~400,000元"
資深前端工程師 Senior Front-End Engineer,https://www.104.com.tw/job/7y8i9?jobsource=jolist_a_relevance,塞席爾商悠福科技股份有限公司,台北市中山區,待遇面議
數據工程師_數據應用部,https://www.104.com.tw/job/74ngs?jobsource=jolist_a_relevance,新堡科技股份有限公司,台北市內湖區,"月薪50,000元以上"
運維工程師/經理,https://www.104.com.tw/job/7s42y?jobsource=jolist_a_relevance,昱峰智能大數據科技股份有限公司,台北市信義區,待遇面議
蛋白質純化研究員/副研究員/助理研究員,https://www.104.com.tw/job/7tes8?jobsource=jolist_a_relevance,漢康生技股份有限公司,台北市內湖區,待遇面議
Inside sales 內勤業務─Cloud& AI,https://www.104.com.tw/job/6rytj?jobsource=jolist_a_relevance,英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,台北市信義區,"月薪35,000~60,000元"
【CLAVIS】社群行銷專案執行 / 整合行銷專案執行(Account Executive),https://www.104.com.tw/job/6u778?jobsource=jolist_a_relevance,精英公關集團_精英公共關係顧問股份有限公司,台北市信義區,"月薪37,000~39,000元"
【IT】專案網路駐點工程師,https://www.104.com.tw/job/7hqut?jobsource=jolist_a_relevance,宏碁雲架構服務股份有限公司,台北市中正區,待遇面議
管理部（宜科）- 數據分析 或 MIS資深工程師,https://www.104.com.tw/job/6pgfr?jobsource=jolist_a_relevance,立達國際電子股份有限公司,宜蘭縣宜蘭市,"月薪45,000~75,000元"
數據分析師_0125,https://www.104.com.tw/job/7yy1p?jobsource=jolist_a_relevance,遊戲橘子數位科技股份有限公司,台北市內湖區,待遇面議
電子商務 財務會計人員,https://www.104.com.tw/job/7w9mx?jobsource=jolist_a_relevance,信澤實業股份有限公司,台南市東區,"月薪35,000~45,000元"
【數位人才招募】數據&AI雲端架構師,https://www.104.com.tw/job/76bv2?jobsource=jolist_a_relevance,信義房屋股份有限公司,台北市信義區,待遇面議
蝦皮電商人員(行銷推廣經驗者尤佳),https://www.104.com.tw/job/7xkw7?jobsource=jolist_a_relevance,Madam Ruby吃做買_露比國際實業社,嘉義市,"月薪28,000~35,000元"
大數據全端資料工程師,https://www.104.com.tw/job/6w682?jobsource=jolist_a_relevance,鈊象電子股份有限公司,新北市五股區,"月薪30,000~60,000元"
人力資源人才,https://www.104.com.tw/job/76p34?jobsource=jolist_a_relevance,中華汽車工業股份有限公司楊梅廠,桃園市楊梅區,待遇面議
【資料庫技術處】資料分析師,https://www.104.com.tw/job/7z5hi?jobsource=jolist_a_relevance,網銀國際股份有限公司,台中市西屯區,待遇面議
CIM系統維運整合專案工程師(台中)R10,https://www.104.com.tw/job/73xeh?jobsource=jolist_a_relevance,友達光電股份有限公司,台中市西屯區,待遇面議
[實習]數位行銷實習生,https://www.104.com.tw/job/7ozu9?jobsource=jolist_a_relevance,英霸聲學科技股份有限公司,新北市中和區,時薪180元以上
HIPO疾行軍招募計畫-資訊類(可遠端工作),https://www.104.com.tw/job/7m38q?jobsource=jolist_a_relevance,台灣大哥大股份有限公司,台北市大安區,遠端工作
5L新光人壽-資料工程師(數據分析、資料倉儲、ETL)(有相關經驗、證照者從優核敘),https://www.104.com.tw/job/6gamv?jobsource=jolist_a_relevance,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台北市松山區,"月薪36,000~50,000元"
數據庫工程師,https://www.104.com.tw/job/7wgle?jobsource=jolist_a_relevance,宏虹電子科技有限公司,桃園市蘆竹區,"月薪75,000~85,000元"
台北-BI資訊工程師,https://www.104.com.tw/job/7nca2?jobsource=jolist_a_relevance,榮成紙業股份有限公司,台北市松山區,待遇面議
AI軟體應用開發工程師,https://www.104.com.tw/job/7jj6i?jobsource=jolist_a_relevance,網際威信股份有限公司,台北市內湖區,待遇面議
數位金融處-數據平台專案管理人員,https://www.104.com.tw/job/78gea?jobsource=jolist_b_relevance,永豐商業銀行股份有限公司,台北市中山區,待遇面議
資料分析研究員【TGH008 大江基因_基因研發中心】,https://www.104.com.tw/job/7tlna?jobsource=jolist_b_relevance,大江基因醫學股份有限公司,台北市內湖區,待遇面議
【RD】網頁程式UI / UX工程師,https://www.104.com.tw/job/7z756?jobsource=jolist_b_relevance,宏碁雲架構服務股份有限公司,台北市信義區,"月薪37,000元以上"
行銷企劃,https://www.104.com.tw/job/6il1u?jobsource=jolist_b_relevance,烏龜移動科技股份有限公司,台北市松山區,"月薪30,000~80,000元"
【Sales】業務經理,https://www.104.com.tw/job/7o13n?jobsource=jolist_b_relevance,宏碁雲架構服務股份有限公司,台北市信義區,待遇面議
智慧零售軟體設計工程師(新竹),https://www.104.com.tw/job/796fy?jobsource=jolist_b_relevance,天來數位股份有限公司,新竹市,"月薪40,000~60,000元"
商業數據分析師(大數據發展處),https://www.104.com.tw/job/7zqr1?jobsource=jolist_b_relevance,全球人壽保險股份有限公司_總公司,台北市信義區,待遇面議
Golang 後端工程師,https://www.104.com.tw/job/7zdo0?jobsource=jolist_b_relevance,馬來西亞商思想科技有限公司台灣分公司,台北市中山區,待遇面議
[全職] QA/RA 醫療器材品質系統與法規儲備主管,https://www.104.com.tw/job/7kid4?jobsource=jolist_b_relevance,英霸聲學科技股份有限公司,新北市中和區,待遇面議
專案經理 Project Manager,https://www.104.com.tw/job/6mz5f?jobsource=jolist_b_relevance,英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,台北市信義區,待遇面議
【宏匯廣場】會員經營資深專員,https://www.104.com.tw/job/76jyr?jobsource=jolist_b_relevance,宏匯新北股份有限公司,新北市新莊區,"月薪35,000元以上"
智能販賣機-場域通路開發專員,https://www.104.com.tw/job/7i6ve?jobsource=jolist_b_relevance,滙聚餐飲管理顧問有限公司,新北市永和區,"月薪35,000~50,000元"
艤裝組-工程師,https://www.104.com.tw/job/7eojf?jobsource=jolist_b_relevance,財團法人船舶暨海洋產業研發中心,新北市淡水區,待遇面議
行為學分析師(行為科學家),https://www.104.com.tw/job/6bh12?jobsource=jolist_b_relevance,東森購物_電視購物_東森得易購股份有限公司,新北市中和區,待遇面議
(LINE Bank) Project Assistant Contractor(1 year)_專案管理助理(約聘),https://www.104.com.tw/job/7bkko?jobsource=jolist_b_relevance,LINE Bank_連線商業銀行股份有限公司,台北市內湖區,待遇面議
Product Manager Intern,https://www.104.com.tw/job/7zznf?jobsource=jolist_b_relevance,漸強賴伯股份有限公司,台北市大安區,時薪180~200元
電話行銷人員-高雄,https://www.104.com.tw/job/5thwy?jobsource=jolist_b_relevance,東森購物_電視購物_東森得易購股份有限公司,高雄市鹽埕區,"月薪26,400元"
大數據與資訊安全處-系統工程師,https://www.104.com.tw/job/7otoo?jobsource=jolist_b_relevance,華新麗華股份有限公司,台北市信義區,待遇面議
【日本樂天Rakuten】跨境電商日文營運助理(專案組),https://www.104.com.tw/job/7ijwx?jobsource=jolist_b_relevance,視宇股份有限公司,台北市松山區,"月薪32,000~40,000元"
CTO | 高級數據分析師,https://www.104.com.tw/job/7v4r6?jobsource=jolist_b_relevance,殷富資訊股份有限公司,台北市松山區,待遇面議
系統分析師-AP2,https://www.104.com.tw/job/5fgq9?jobsource=jolist_d_relevance,探網科技股份有限公司,台北市中正區,待遇面議
軟體研發實習/工讀生 (前端/後端/APP),https://www.104.com.tw/job/7kn3a?jobsource=jolist_d_relevance,帝濶智慧科技股份有限公司,台北市內湖區,時薪180元以上
Finance and operations specialist 財務會計營運專員,https://www.104.com.tw/job/7ypq8?jobsource=jolist_d_relevance,漸強賴伯股份有限公司,台北市大安區,待遇面議
電子商務數據分析師,https://www.104.com.tw/job/7m9jb?jobsource=jolist_d_relevance,和盟電子商務股份有限公司,台北市中山區,"月薪30,000~50,000元"
AOI AI軟體開發工程師(工作地點:台中),https://www.104.com.tw/job/7yus1?jobsource=jolist_d_relevance,Advantech_研華股份有限公司,台中市南屯區,待遇面議
工程師助理-AI人工智慧軟體,https://www.104.com.tw/job/7y697?jobsource=jolist_d_relevance,貝登堡國際股份有限公司,台北市信義區,待遇面議
數據分析專員,https://www.104.com.tw/job/7y9rp?jobsource=jolist_d_relevance,日崚有限公司,新北市新店區,待遇面議
第59台ViVa TV電話行銷人員(保障底薪+高獎金/無經驗可/歡迎二度就業來加入、社會新鮮人來挑戰),https://www.104.com.tw/job/3io41?jobsource=jolist_d_relevance,美好購物ViVa TV_ 美好家庭購物股份有限公司,台北市南港區,"月薪26,500~100,000元"
CI1100 .Net C# 軟體工程師 Software Engineer,https://www.104.com.tw/job/59ljh?jobsource=jolist_d_relevance,建騰創達科技股份有限公司,台北市內湖區,"月薪42,000~60,000元"
世新大學知識經濟發展研究院-專案研究員/主管（博後）,https://www.104.com.tw/job/7g6dc?jobsource=jolist_d_relevance,世新大學_人事室,台北市文山區,"月薪50,000元以上"
臺灣大學臨床醫學研究所高嘉宏教授 徵碩士級研究助理1名,https://www.104.com.tw/job/7kaxq?jobsource=jolist_d_relevance,國立臺灣大學,台北市中正區,"月薪38,618元以上"
軟體專利工程師,https://www.104.com.tw/job/7c1xn?jobsource=jolist_d_relevance,睿加科技股份有限公司,台北市信義區,遠端工作
數位轉型專員/資深專員-數據分析師,https://www.104.com.tw/job/7lu40?jobsource=jolist_d_relevance,全台物流股份有限公司,新北市林口區,"月薪37,000~44,000元"
嵌入式系統軟體工程師_台達研究院(台北/南科),https://www.104.com.tw/job/7zd1k?jobsource=jolist_d_relevance,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市內湖區,待遇面議
統一超商數據分析管理師,https://www.104.com.tw/job/7xdj3?jobsource=jolist_d_relevance,統一超商股份有限公司,台北市信義區,"月薪35,000~52,000元"
平面設計師,https://www.104.com.tw/job/7dpwq?jobsource=jolist_d_relevance,老賴茶棧_老賴國際有限公司,台中市北屯區,"月薪30,000~36,000元"
C# ASP.NET Web 工程師,https://www.104.com.tw/job/7i0u1?jobsource=jolist_d_relevance,財團法人中央通訊社,台北市中山區,待遇面議
[兼職] 產品測試/客服專員,https://www.104.com.tw/job/71moi?jobsource=jolist_d_relevance,英霸聲學科技股份有限公司,新北市中和區,時薪190元以上
IoT前端工程師 Front-end Engineer,https://www.104.com.tw/job/7uqmw?jobsource=jolist_d_relevance,美商訊能集思智能科技股份有限公司台灣分公司,台北市信義區,"年薪700,000~1,000,000元"
韓國服飾銷售人員,https://www.104.com.tw/job/7ylug?jobsource=jolist_d_relevance,百分百可能股份有限公司,新北市鶯歌區,"月薪50,000~150,000元"
稽核人員(稽核部),https://www.104.com.tw/job/46mqn?jobsource=jolist_c_relevance,聯邦商業銀行股份有限公司,台北市松山區,待遇面議
2023錼創暑期實習生,https://www.104.com.tw/job/7ztmd?jobsource=jolist_c_relevance,錼創顯示科技股份有限公司,苗栗縣竹南鎮,時薪210~260元
(LINE Bank) Project Assistant Contractor(1 year)_專案管理助理(約聘),https://www.104.com.tw/job/7bkko?jobsource=jolist_c_relevance,LINE Bank_連線商業銀行股份有限公司,台北市內湖區,待遇面議
社群電商-社群內容專員,https://www.104.com.tw/job/7ascj?jobsource=jolist_c_relevance,群健科技股份有限公司,台北市中山區,遠端工作
【風險諮詢】金融犯罪風險資料分析顧問,https://www.104.com.tw/job/7f2i9?jobsource=jolist_c_relevance,勤業眾信聯合會計師事務所,台北市信義區,待遇面議
"""歡迎45+""捷運松江南京站~內勤保養諮詢顧問《保障月薪(含滿月津貼及全勤)28,000+高獎金》",https://www.104.com.tw/job/7xssg?jobsource=jolist_c_relevance,富日國際股份有限公司,台北市中山區,"月薪28,000~400,000元"
資深前端工程師 Senior Front-End Engineer,https://www.104.com.tw/job/7y8i9?jobsource=jolist_c_relevance,塞席爾商悠福科技股份有限公司,台北市中山區,待遇面議
電商經理,https://www.104.com.tw/job/6wp0r?jobsource=jolist_c_relevance,樂璞股份有限公司,台北市松山區,"月薪45,000~70,000元"
高階主管特助,https://www.104.com.tw/job/70k7i?jobsource=jolist_c_relevance,禾多移動多媒體股份有限公司,台北市中山區,"年薪500,000~810,000元"
數據分析師_0104,https://www.104.com.tw/job/7y8gs?jobsource=jolist_c_relevance,遊戲橘子數位科技股份有限公司,台北市內湖區,待遇面議
運維工程師/經理,https://www.104.com.tw/job/7s42y?jobsource=jolist_c_relevance,昱峰智能大數據科技股份有限公司,台北市信義區,待遇面議
軟體研發實習/工讀生 (前端/後端/APP),https://www.104.com.tw/job/7kn3a?jobsource=jolist_c_relevance,帝濶智慧科技股份有限公司,台北市內湖區,時薪180元以上
C#軟體研發高級工程師 (ID: 23003I),https://www.104.com.tw/job/7vay3?jobsource=jolist_c_relevance,四零四科技股份有限公司,新北市新莊區,待遇面議
營運數據分析師,https://www.104.com.tw/job/7iwn0?jobsource=jolist_c_relevance,益卡樂科技股份有限公司,新竹市,"月薪35,000~50,000元"
蛋白質純化研究員/副研究員/助理研究員,https://www.104.com.tw/job/7tes8?jobsource=jolist_c_relevance,漢康生技股份有限公司,台北市內湖區,待遇面議
後端工程師,https://www.104.com.tw/job/7zkzh?jobsource=jolist_c_relevance,滙聚餐飲管理顧問有限公司,新北市永和區,待遇面議
【IT】專案網路駐點工程師,https://www.104.com.tw/job/7hqut?jobsource=jolist_c_relevance,宏碁雲架構服務股份有限公司,台北市中正區,待遇面議
管理部（宜科）- 數據分析 或 MIS資深工程師,https://www.104.com.tw/job/6pgfr?jobsource=jolist_c_relevance,立達國際電子股份有限公司,宜蘭縣宜蘭市,"月薪45,000~75,000元"
數據分析師_0125,https://www.104.com.tw/job/7yy1p?jobsource=jolist_c_relevance,遊戲橘子數位科技股份有限公司,台北市內湖區,待遇面議
【數位人才招募】數據&AI雲端架構師,https://www.104.com.tw/job/76bv2?jobsource=jolist_c_relevance,信義房屋股份有限公司,台北市信義區,待遇面議
電話行銷人員-板橋,https://www.104.com.tw/job/6hye6?jobsource=jolist_a_relevance,東森購物_電視購物_東森得易購股份有限公司,新北市板橋區,"月薪26,400元"
前端工程師(台中),https://www.104.com.tw/job/72ehu?jobsource=jolist_a_relevance,網際威信股份有限公司,台中市南屯區,"月薪38,000元以上"
【產品研發】Junior/Senior PHP 後端平台工程師,https://www.104.com.tw/job/7qzj0?jobsource=jolist_a_relevance,艾得利智能行銷科技股份有限公司,台北市大安區,待遇面議
律師,https://www.104.com.tw/job/7yyik?jobsource=jolist_a_relevance,六合法律事務所,台北市中正區,待遇面議
AI數據工程師.,https://www.104.com.tw/job/72rt2?jobsource=jolist_a_relevance,永慶房產集團_永慶房屋仲介股份有限公司,台北市大安區,"月薪35,000~60,000元"
82J0-伺服器電源研發工程師(北投),https://www.104.com.tw/job/605kh?jobsource=jolist_a_relevance,康舒科技股份有限公司,台北市北投區,待遇面議
【IT】雲端架構師,https://www.104.com.tw/job/7ng93?jobsource=jolist_a_relevance,宏碁雲架構服務股份有限公司,桃園市龍潭區,待遇面議
徵 數據處-健康資料加值暨統計中心-專任職員2名(統計分析師),https://www.104.com.tw/job/7lkcc?jobsource=jolist_a_relevance,臺北醫學大學,新北市中和區,待遇面議
測試工程師 (QA Engineer),https://www.104.com.tw/job/7en9w?jobsource=jolist_a_relevance,微程式資訊股份有限公司,台中市西屯區,"月薪30,000~55,000元"
機器學習工程師(Machine Learning Engineer),https://www.104.com.tw/job/6ck4s?jobsource=jolist_a_relevance,衛利生物科技股份有限公司,新北市新店區,待遇面議
財務幕僚管理師,https://www.104.com.tw/job/7l15g?jobsource=jolist_a_relevance,台塑_臺灣塑膠工業股份有限公司,台北市松山區,待遇面議
CRM 數據分析主任/副理,https://www.104.com.tw/job/7wpms?jobsource=jolist_a_relevance,麥絲瑪拉台灣零售股份有限公司,台北市松山區,待遇面議
【財會部】會計專員,https://www.104.com.tw/job/6xnn6?jobsource=jolist_a_relevance,視宇股份有限公司,台北市松山區,"月薪45,000~50,000元"
資深授信審查專員,https://www.104.com.tw/job/4q4je?jobsource=jolist_a_relevance,喬美國際網路股份有限公司,台北市南港區,待遇面議
研發工程類-軟體研發工程師/主管 Software R&D Engineer/Supervisor,https://www.104.com.tw/job/4uxuh?jobsource=jolist_a_relevance,ASMPT Technology Limited_香港商先進太平洋股份有限公司台灣分公司,桃園市龜山區,待遇面議
資深系統工程師,https://www.104.com.tw/job/7ffzh?jobsource=jolist_a_relevance,環輿科技股份有限公司,台北市大安區,待遇面議
【Sales】業務專員,https://www.104.com.tw/job/7o13w?jobsource=jolist_a_relevance,宏碁雲架構服務股份有限公司,台北市信義區,待遇面議
資深媒體投放專員（廣告優化師）,https://www.104.com.tw/job/7uc1q?jobsource=jolist_a_relevance,必加廣告行銷股份有限公司,台北市大安區,"月薪35,000~45,000元"
【Raise 計畫】  產業高階人才培訓計畫,https://www.104.com.tw/job/7z6mv?jobsource=jolist_a_relevance,華聯生物科技股份有限公司,新竹縣竹北市,待遇面議
【總公司】運籌數據軟體開發專員,https://www.104.com.tw/job/7sr92?jobsource=jolist_a_relevance,新竹物流股份有限公司,台北市士林區,待遇面議
資深資料科學家-AI系統二team【全家便利商店關係企業】,https://www.104.com.tw/job/7zwrl?jobsource=jolist_b_relevance,精藤股份有限公司,台北市中山區,待遇面議
臨床研究研究員【TGH008 大江基因_基因研發中心】,https://www.104.com.tw/job/7y53p?jobsource=jolist_b_relevance,大江基因醫學股份有限公司,台北市內湖區,待遇面議
產品開發管理師(PM),https://www.104.com.tw/job/7fn4f?jobsource=jolist_b_relevance,CARMAX_車美仕股份有限公司,桃園市龜山區,"年薪800,000~1,400,000元"
財務經理,https://www.104.com.tw/job/7yy4t?jobsource=jolist_b_relevance,滙聚餐飲管理顧問有限公司,新北市永和區,"月薪45,000~55,000元"
CRM顧問專案經理,https://www.104.com.tw/job/7s205?jobsource=jolist_b_relevance,紅門互動股份有限公司,台北市松山區,待遇面議
資料分析師,https://www.104.com.tw/job/7xris?jobsource=jolist_b_relevance,博弘雲端科技股份有限公司,台北市中山區,待遇面議
人事行政工讀生,https://www.104.com.tw/job/5gx0u?jobsource=jolist_b_relevance,亞瑞特數位社群行銷有限公司,台北市松山區,時薪176元
AI人工智能研究員  IOT物聯網應用工程師,https://www.104.com.tw/job/7z003?jobsource=jolist_b_relevance,大圓寶鏡科技文化有限公司,台北市大安區,遠端工作
Senior Product Manager (資深產品經理),https://www.104.com.tw/job/7dspj?jobsource=jolist_b_relevance,騰學廣告科技股份有限公司,台北市大安區,遠端工作
客服小編營運專員,https://www.104.com.tw/job/76de8?jobsource=jolist_b_relevance,英霸聲學科技股份有限公司,新北市中和區,"月薪27,000~40,000元"
RD20347 硬體研發工程師(IPC&IOT產品),https://www.104.com.tw/job/6a0lf?jobsource=jolist_b_relevance,華碩電腦股份有限公司,台北市北投區,待遇面議
網路行銷企劃,https://www.104.com.tw/job/uia0?jobsource=jolist_b_relevance,家多利行銷股份有限公司,台中市南屯區,"月薪30,000~45,000元"
"Software Engineer, Data Backend",https://www.104.com.tw/job/7o819?jobsource=jolist_b_relevance,沛星互動科技股份有限公司,台北市信義區,待遇面議
ASP.NET軟體工程師(台北),https://www.104.com.tw/job/6isr3?jobsource=jolist_b_relevance,文中資訊股份有限公司,台北市松山區,"月薪40,000元以上"
債券投資人員,https://www.104.com.tw/job/5ad90?jobsource=jolist_b_relevance,台北富邦商業銀行股份有限公司,台北市大安區,待遇面議
後端 PHP 工程師 (Jr. PHP Developer),https://www.104.com.tw/job/7xjed?jobsource=jolist_b_relevance,微程式資訊股份有限公司,台中市西屯區,待遇面議
FACEBOOK廣告企劃(台北),https://www.104.com.tw/job/41can?jobsource=jolist_b_relevance,台北數位集團_台北數位廣告股份有限公司,台北市南港區,"月薪31,000~38,000元"
軟體工程師0602,https://www.104.com.tw/job/7fba0?jobsource=jolist_b_relevance,Phison Electronics Corp_群聯電子股份有限公司,苗栗縣竹南鎮,待遇面議
(數據分析)資訊業務-3DW291,https://www.104.com.tw/job/7garj?jobsource=jolist_b_relevance,敦新科技股份有限公司,台北市大安區,"月薪35,000元以上"
Showmore 客戶服務專員(早班),https://www.104.com.tw/job/7e3nm?jobsource=jolist_b_relevance,塞席爾商悠福科技股份有限公司,台北市中山區,遠端工作
世新大學知識經濟發展研究院-專案研究員/主管（博後）,https://www.104.com.tw/job/7g6dc?jobsource=jolist_c_relevance,世新大學_人事室,台北市文山區,"月薪50,000元以上"
臺灣大學臨床醫學研究所高嘉宏教授 徵碩士級研究助理1名,https://www.104.com.tw/job/7kaxq?jobsource=jolist_c_relevance,國立臺灣大學,台北市中正區,"月薪38,618元以上"
軟體專利工程師,https://www.104.com.tw/job/7c1xn?jobsource=jolist_c_relevance,睿加科技股份有限公司,台北市信義區,遠端工作
數位轉型專員/資深專員-數據分析師,https://www.104.com.tw/job/7lu40?jobsource=jolist_c_relevance,全台物流股份有限公司,新北市林口區,"月薪37,000~44,000元"
產品開發管理師(PM),https://www.104.com.tw/job/7fn4f?jobsource=jolist_c_relevance,CARMAX_車美仕股份有限公司,桃園市龜山區,"年薪800,000~1,400,000元"
嵌入式系統軟體工程師_台達研究院(台北/南科),https://www.104.com.tw/job/7zd1k?jobsource=jolist_c_relevance,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市內湖區,待遇面議
資料分析師,https://www.104.com.tw/job/7xris?jobsource=jolist_c_relevance,博弘雲端科技股份有限公司,台北市中山區,待遇面議
IoT前端工程師 Front-end Engineer,https://www.104.com.tw/job/7uqmw?jobsource=jolist_c_relevance,美商訊能集思智能科技股份有限公司台灣分公司,台北市信義區,"年薪700,000~1,000,000元"
韓國服飾銷售人員,https://www.104.com.tw/job/7ylug?jobsource=jolist_c_relevance,百分百可能股份有限公司,新北市鶯歌區,"月薪50,000~150,000元"
群健所邱弘毅所長研究室誠徵碩士級研究助理,https://www.104.com.tw/job/7zvat?jobsource=jolist_c_relevance,財團法人國家衛生研究院,台北市信義區,"月薪38,600元以上"
