職缺名稱,職缺連結,公司名稱,工作地區,薪資待遇
[HQ HR] HR Director,https://www.104.com.tw/job/7590o?jobsource=jolist_a_relevance,威朋大數據股份有限公司,台北市松山區,待遇面議
儀科中心-生醫平台與育成組-誠徵計畫專任人員學士級1名(健康大數據)(聘期至113年04月30日),https://www.104.com.tw/job/7ztcl?jobsource=jolist_a_relevance,財團法人國家實驗研究院,新竹縣竹北市,"月薪33,800元以上"
[T300]系統分析師(SA)-金融業相關領域/公部門大數據,https://www.104.com.tw/job/6xyey?jobsource=jolist_a_relevance,聖森雲端科技股份有限公司,台北市松山區,"月薪80,000元以上"
通路業務大數據分析人員,https://www.104.com.tw/job/7coqm?jobsource=jolist_a_relevance,兆豐證券股份有限公司,台北市中正區,"月薪30,000~40,000元"
(資深)後端工程師,https://www.104.com.tw/job/5x0lo?jobsource=jolist_a_relevance,昱峰智能大數據科技股份有限公司,台北市信義區,"月薪40,000元以上"
[TW KA] Business Development Manager (Key Account),https://www.104.com.tw/job/7whr9?jobsource=jolist_a_relevance,威朋大數據股份有限公司,台北市松山區,"年薪1,200,000~2,000,000元"
I8231 大數據專業服務Presales,https://www.104.com.tw/job/7yf5a?jobsource=jolist_a_relevance,遠傳電信股份有限公司,台北市內湖區,待遇面議
資料科學工程師 / Data Science Engineer,https://www.104.com.tw/job/7n2yi?jobsource=jolist_a_relevance,紫式大數據決策股份有限公司,新竹市,遠端工作
軟體工程師,https://www.104.com.tw/job/6p2d5?jobsource=jolist_a_relevance,紫式大數據決策股份有限公司,新竹市,遠端工作
【風險諮詢】大數據稽核諮詢顧問,https://www.104.com.tw/job/550g9?jobsource=jolist_a_relevance,勤業眾信聯合會計師事務所,台北市信義區,待遇面議
[Data Sci] Data Project Manager,https://www.104.com.tw/job/6uakg?jobsource=jolist_a_relevance,威朋大數據股份有限公司,台北市松山區,待遇面議
2023_A+種子暑期實習_大數據與資料分析(新竹),https://www.104.com.tw/job/7x21i?jobsource=jolist_a_relevance,友達光電股份有限公司,新竹市,"月薪32,000~51,000元"
[TW] Full Stack Engineer,https://www.104.com.tw/job/7v2tk?jobsource=jolist_a_relevance,威朋大數據股份有限公司,台北市松山區,待遇面議
電話行銷業務,https://www.104.com.tw/job/7zzsu?jobsource=jolist_a_relevance,夢想家大數據整合行銷有限公司,台中市西屯區,時薪176~200元
電話行銷人員,https://www.104.com.tw/job/7zzuh?jobsource=jolist_a_relevance,夢想家大數據整合行銷有限公司,台中市西屯區,"論件計酬50,000~100,000元"
電話行銷業務,https://www.104.com.tw/job/7zzsu?jobsource=jolist_b_relevance,夢想家大數據整合行銷有限公司,台中市西屯區,時薪176~200元
辦公室行銷業務人員(無經驗可),https://www.104.com.tw/job/7zzv9?jobsource=jolist_b_relevance,夢想家大數據整合行銷有限公司,台中市西屯區,時薪176~200元
MyGo擴編-土地開發專員/保障底薪+高抽成+提供大數據找地！(台北),https://www.104.com.tw/job/7uc5a?jobsource=jolist_b_relevance,MyGo商學苑_平安房屋仲介股份有限公司,台北市中山區,"月薪36,000元以上"
